stop,pagerank
BM English School Bellahalli,0.0007666202071234478
Madanayakanahalli,0.0007664427720596211
Channasandra,0.0007614016572280438
BEL Circle,0.0007578455329759381
Rajarajeshwarinagara Gate,0.0007512382188835158
Chikkanahalli,0.0007476709383233955
City Railway Station,0.0007455369567408081
Jigani APC Circle,0.000743651937049523
Padmanabha Nagara,0.0007388282209475581
Nagadevanahalli Kengeri,0.0007356764583158894
Depot 26,0.0007323292561145323
BMT-23,0.0007320381215090746
Kala Mandir Marathalli,0.0007247859562002783
Annapoorneshwari Nagara,0.0007239686862036751
Vasanthapura,0.0007166226612141324
AGS Layout,0.0007124946951525175
Yelahanaka NES Office,0.0007078237580548133
Kempapura,0.0007077138671847098
Kannamangala,0.0007065155100313484
Peenya Satellite Bus Station,0.000703685459316836
Summanahalli Magadi Road,0.0006975498711510427
DRDO 2ND Phase,0.0006953926468335024
Jeevanahalli,0.0006951863769046599
Yelahanka Old Town,0.0006891099318092502
Kumaraswamy Layout,0.0006886597934437596
Kittanahalli,0.0006871991198259743
Rajanukunte,0.0006838355321791803
Thara Hunise,0.0006837394771608066
Chikka Tirupathi,0.0006745708347226115
Brudavana Nagara Jinke vana,0.0006741508527021353
Jakkur Layout,0.0006733112478325815
Electronic City 2nd Phase,0.000671137010396681
Goragunte Palya,0.0006665844192170217
Neela sandra,0.0006662782568897414
Sindhi High School,0.0006656171336647337
HMT Watch Factory,0.0006654492271455709
Wonderla Amusement Park,0.0006605242415207976
Depot 14,0.0006594851571811665
BOSCH,0.0006552966536093906
Basavanagara,0.0006530456883005592
Rampura,0.0006502297844744929
Cauvery Bhavana,0.0006471184761018913
Puttenahalli Yelhanka,0.0006470981889983112
Arekere MICO Layout,0.0006456958953201474
BCC Layout,0.0006449421083490158
Deepanjalinagara Depot-16,0.0006442441462187433
Gunjoor,0.0006409023353974905
Jaibheemanagara,0.0006369474608962282
Hebbal,0.0006258271373056661
Ganga Nagara,0.0006230683414794937
Jaggath Pharma,0.0006227124538308949
Sophiya High School,0.0006194610821641073
Dodda Kannalli,0.0006172115450895876
KHB Colony,0.0006164210241202584
Mallesh Palya New Bus Stand,0.0006160656660667668
Naduvatti,0.0006160475790844306
HSR Layout 2nd Sector,0.0006157157333633351
MS Palya,0.0006124538971922565
Vijayapura,0.0006119275356517209
Old Bayappanahalli,0.0006100556956313831
Bangarappa Nagara,0.0006077400802178972
Kambipura,0.0006063583546719395
Bagaluru Cross,0.0006039913652009102
Arishinakunte,0.0006033829613595012
Muthyalaya Nagar,0.0005984072889953535
Razak Palya,0.0005956424341456203
Girinagara Extention,0.0005956318642742418
Avalahalli Nandi Garden,0.0005946374698766981
Ambedkar College Circle,0.0005934977654280985
Yelahanka Satellite Town,0.0005931454058222801
KSIT COLLEGE,0.0005891655402346484
Vishwapriya Layout,0.0005884323168812884
Chandra Layout 1st Stage,0.000587673366356177
Handenahalli,0.0005825020046004074
Anekal Bus Stand,0.0005821654334980733
Depot 24,0.0005813953488372093
Ramamurthinagar Police Station,0.0005813953488372093
Kalyana Nagara,0.0005813953488372093
Isolation Hospital,0.0005813953488372093
HAL Main gate,0.0005813953488372093
BHEL Gate,0.0005813953488372093
White Field,0.0005813953488372093
John FW Tech Centre,0.0005813953488372093
Depot-37,0.0005813953488372093
Bangalore University Gate Mysore Road,0.0005813953488372093
Krishna Rao Park,0.0005813953488372093
Krishna Garden BHEL Layout,0.0005813953488372093
Byatarayana Pura,0.0005813953488372093
NAGAVARA JUNCTION,0.0005813953488372093
Frazer Town,0.0005813953488372093
Jagath Pharma,0.0005813953488372093
Depot 3,0.0005813953488372093
Sulibele Hoskote,0.0005813953488372093
Hanumantha Nagara Ward Office,0.0005813953488372093
Khaji Hosahalli,0.0005813953488372093
YPR RMC,0.0005793860064205749
AECS Layout,0.0005788330101379243
BSF,0.000576984638308032
Globale Academy Bangarappa Nagara,0.0005768385640516793
ISRO Quarters,0.00057359521601547
HBR Layout Ist Stage,0.000573325780133512
Nayanappa Shettipalya,0.0005717985860589456
Somasundarapalya,0.0005717985860589456
Upkar Residency Layout,0.0005717985860589456
MATTHAHALLI,0.0005704796723271502
Kada Agrahara,0.0005666125338098594
Kudhurgere Madhanayakanahalli,0.0005632053454647871
Tavare Kere,0.0005632053454647871
